"skill_id","skills","demand_count","avg_salary"
95,"pyspark","111","208172"
218,"bitbucket","38","189155"
85,"watson","3","160515"
65,"couchbase","1","160515"
206,"datarobot","4","155486"
220,"gitlab","57","154500"
35,"swift","32","153750"
102,"jupyter","83","152777"
93,"pandas","291","151821"
59,"elasticsearch","33","145000"
27,"golang","6","145000"
94,"numpy","171","143513"
75,"databricks","277","141907"
169,"linux","115","136508"
213,"kubernetes","46","132500"
219,"atlassian","43","131162"
250,"twilio","4","127000"
96,"airflow","228","126103"
106,"scikit-learn","54","125781"
211,"jenkins","39","125436"
238,"notion","29","125000"
3,"scala","110","124903"
57,"postgresql","165","123879"
81,"gcp","271","122500"
191,"microstrategy","106","121619"
